experiment,pair,kind,same_script,n,align_score
ton,mri->ton,source-target,True,3000,-3.982
ton,ind->ton,source-target,True,3000,-4.066
ton,ceb->ton,source-target,True,3000,-3.981
ton,tgl->ton,source-target,True,3000,-3.964
ton,mri~ind,source-source,True,3000,-4.021
ton,mri~ceb,source-source,True,3000,-3.921
ton,mri~tgl,source-source,True,3000,-3.905
ton,ind~ceb,source-source,True,3000,-3.817
ton,ind~tgl,source-source,True,3000,-3.819
ton,ceb~tgl,source-source,True,3000,-3.592
nde,sna->nde,source-target,True,3000,-3.208
nde,tsn->nde,source-target,True,3000,-3.949
nde,swh->nde,source-target,True,3000,-3.443
nde,lin->nde,source-target,True,3000,-3.849
nde,sna~tsn,source-source,True,3000,-3.969
nde,sna~swh,source-source,True,3000,-3.472
nde,sna~lin,source-source,True,3000,-3.853
nde,tsn~swh,source-source,True,3000,-4.0
nde,tsn~lin,source-source,True,3000,-4.031
nde,swh~lin,source-source,True,3000,-3.831
mdy,amh->mdy,source-target,True,3000,-3.642
mdy,arb->mdy,source-target,False,3000,-3.656
mdy,heb->mdy,source-target,False,3000,-3.697
mdy,gaz->mdy,source-target,False,3000,-3.73
mdy,amh~arb,source-source,False,3000,-3.334
mdy,amh~heb,source-source,False,3000,-3.412
mdy,amh~gaz,source-source,False,3000,-3.494
mdy,arb~heb,source-source,False,3000,-3.339
mdy,arb~gaz,source-source,False,3000,-3.507
mdy,heb~gaz,source-source,False,3000,-3.564
rmc,hin->rmc,source-target,False,3000,-3.988
rmc,mar->rmc,source-target,False,3000,-3.942
rmc,guj->rmc,source-target,False,3000,-3.933
rmc,asm->rmc,source-target,False,3000,-3.98
rmc,hin~mar,source-source,True,3000,-3.989
rmc,hin~guj,source-source,False,3000,-3.914
rmc,hin~asm,source-source,False,3000,-4.004
rmc,mar~guj,source-source,False,3000,-3.858
rmc,mar~asm,source-source,False,3000,-3.909
rmc,guj~asm,source-source,False,3000,-3.903
control_ilo,mri->ilo,source-target,True,3000,-3.848
control_ilo,ind->ilo,source-target,True,3000,-3.727
control_ilo,ceb->ilo,source-target,True,3000,-3.545
control_ilo,tgl->ilo,source-target,True,3000,-3.538
control_ilo,mri~ind,source-source,True,3000,-4.021
control_ilo,mri~ceb,source-source,True,3000,-3.921
control_ilo,mri~tgl,source-source,True,3000,-3.905
control_ilo,ind~ceb,source-source,True,3000,-3.817
control_ilo,ind~tgl,source-source,True,3000,-3.819
control_ilo,ceb~tgl,source-source,True,3000,-3.592
