target,init,lr,book,same_script_sources,n_sources,best_source,best_chrF3,best_spBLEU,mean_chrF3,verses,per_source
ton,relative,0.0003,RUT,4,4,mri,46.08,32.12,45.21,85,"{'mri': 46.08, 'ind': 44.65, 'ceb': 44.95, 'tgl': 45.17}"
ton,relative,0.0003,JON,4,4,tgl,46.7,33.73,45.73,48,"{'mri': 46.48, 'ind': 44.55, 'ceb': 45.19, 'tgl': 46.7}"
ton,relative,0.0003,GEN 1:,4,4,ind,48.59,33.45,47.5,31,"{'mri': 46.34, 'ind': 48.59, 'ceb': 48.59, 'tgl': 46.47}"
ton,scratch,0.0003,RUT,4,4,mri,46.59,32.67,45.58,85,"{'mri': 46.59, 'ind': 44.73, 'ceb': 45.17, 'tgl': 45.84}"
ton,scratch,0.0003,JON,4,4,tgl,46.78,33.61,45.66,48,"{'mri': 45.78, 'ind': 45.29, 'ceb': 44.79, 'tgl': 46.78}"
ton,scratch,0.0003,GEN 1:,4,4,ind,48.5,33.31,47.07,31,"{'mri': 47.55, 'ind': 48.5, 'ceb': 46.65, 'tgl': 45.6}"
ton,same_script,0.0003,RUT,4,4,mri,46.05,32.21,45.51,85,"{'mri': 46.05, 'ind': 45.01, 'ceb': 45.35, 'tgl': 45.64}"
ton,same_script,0.0003,JON,4,4,tgl,46.56,33.39,45.76,48,"{'mri': 45.77, 'ind': 45.54, 'ceb': 45.15, 'tgl': 46.56}"
ton,same_script,0.0003,GEN 1:,4,4,ind,48.55,32.63,47.82,31,"{'mri': 47.71, 'ind': 48.55, 'ceb': 47.56, 'tgl': 47.46}"
nde,relative,0.0003,RUT,4,4,sna,54.31,24.91,50.74,85,"{'sna': 54.31, 'swh': 51.12, 'lin': 46.78}"
nde,relative,0.0003,JON,4,4,sna,53.66,24.28,49.71,48,"{'sna': 53.66, 'swh': 51.14, 'lin': 44.34}"
nde,relative,0.0003,GEN 1:,4,4,sna,55.77,21.19,54.35,31,"{'sna': 55.77, 'swh': 54.99, 'lin': 52.3}"
nde,scratch,0.0003,RUT,4,4,sna,53.58,23.97,50.48,85,"{'sna': 53.58, 'swh': 50.95, 'lin': 46.92}"
nde,scratch,0.0003,JON,4,4,sna,53.49,24.36,49.08,48,"{'sna': 53.49, 'swh': 49.95, 'lin': 43.81}"
nde,scratch,0.0003,GEN 1:,4,4,sna,56.0,21.1,54.93,31,"{'sna': 56.0, 'swh': 55.55, 'lin': 53.23}"
nde,same_script,0.0003,RUT,4,4,sna,53.58,24.57,50.66,85,"{'sna': 53.58, 'swh': 51.53, 'lin': 46.88}"
nde,same_script,0.0003,JON,4,4,sna,54.14,24.91,49.95,48,"{'sna': 54.14, 'swh': 50.88, 'lin': 44.83}"
nde,same_script,0.0003,GEN 1:,4,4,swh,55.9,21.46,54.6,31,"{'sna': 55.25, 'swh': 55.9, 'lin': 52.64}"
mdy,relative,0.0003,RUT,1,4,arb,6.78,4.42,6.32,85,"{'arb': 6.78, 'heb': 6.21, 'gaz': 5.98}"
mdy,relative,0.0003,JON,1,4,arb,6.68,5.97,5.94,48,"{'arb': 6.68, 'heb': 5.87, 'gaz': 5.26}"
mdy,relative,0.0003,GEN 1:,1,4,heb,5.76,5.17,5.21,31,"{'arb': 5.36, 'heb': 5.76, 'gaz': 4.5}"
mdy,scratch,0.0003,RUT,1,4,arb,6.67,4.5,6.39,85,"{'arb': 6.67, 'heb': 6.26, 'gaz': 6.24}"
mdy,scratch,0.0003,JON,1,4,arb,7.38,6.42,6.36,48,"{'arb': 7.38, 'heb': 6.37, 'gaz': 5.33}"
mdy,scratch,0.0003,GEN 1:,1,4,heb,6.37,5.63,5.34,31,"{'arb': 5.25, 'heb': 6.37, 'gaz': 4.39}"
mdy,same_script,0.0003,RUT,1,4,arb,6.78,4.42,6.32,85,"{'arb': 6.78, 'heb': 6.21, 'gaz': 5.98}"
mdy,same_script,0.0003,JON,1,4,arb,6.68,5.97,5.94,48,"{'arb': 6.68, 'heb': 5.87, 'gaz': 5.26}"
mdy,same_script,0.0003,GEN 1:,1,4,heb,5.76,5.17,5.21,31,"{'arb': 5.36, 'heb': 5.76, 'gaz': 4.5}"
